Category: All categories

Month,"""transformative change"": (Worldwide)"
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,70
2005-06,70
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,58
2005-12,57
2006-01,50
2006-02,52
2006-03,44
2006-04,0
2006-05,0
2006-06,46
2006-07,0
2006-08,0
2006-09,0
2006-10,37
2006-11,36
2006-12,0
2007-01,64
2007-02,34
2007-03,30
2007-04,31
2007-05,53
2007-06,28
2007-07,54
2007-08,26
2007-09,100
2007-10,34
2007-11,44
2007-12,0
2008-01,31
2008-02,0
2008-03,20
2008-04,20
2008-05,29
2008-06,20
2008-07,0
2008-08,29
2008-09,0
2008-10,16
2008-11,17
2008-12,17
2009-01,16
2009-02,16
2009-03,14
2009-04,15
2009-05,29
2009-06,42
2009-07,14
2009-08,14
2009-09,13
2009-10,12
2009-11,19
2009-12,25
2010-01,19
2010-02,24
2010-03,11
2010-04,28
2010-05,17
2010-06,12
2010-07,14
2010-08,14
2010-09,20
2010-10,9
2010-11,19
2010-12,14
2011-01,17
2011-02,18
2011-03,35
2011-04,14
2011-05,8
2011-06,8
2011-07,16
2011-08,21
2011-09,8
2011-10,14
2011-11,12
2011-12,12
2012-01,13
2012-02,18
2012-03,17
2012-04,22
2012-05,15
2012-06,11
2012-07,15
2012-08,13
2012-09,16
2012-10,15
2012-11,6
2012-12,10
2013-01,16
2013-02,14
2013-03,13
2013-04,10
2013-05,14
2013-06,11
2013-07,17
2013-08,9
2013-09,13
2013-10,10
2013-11,10
2013-12,10
2014-01,15
2014-02,7
2014-03,12
2014-04,6
2014-05,11
2014-06,10
2014-07,13
2014-08,15
2014-09,11
2014-10,18
2014-11,14
2014-12,12
2015-01,10
2015-02,14
2015-03,11
2015-04,13
2015-05,8
2015-06,12
2015-07,21
2015-08,8
2015-09,21
2015-10,13
2015-11,20
2015-12,9
2016-01,12
2016-02,11
2016-03,29
2016-04,7
2016-05,11
2016-06,13
2016-07,10
2016-08,13
2016-09,12
2016-10,26
2016-11,14
2016-12,12
2017-01,9
2017-02,14
2017-03,21
2017-04,16
2017-05,14
2017-06,18
2017-07,13
2017-08,10
2017-09,8
2017-10,20
2017-11,21
2017-12,12
2018-01,17
2018-02,14
2018-03,12
2018-04,17
2018-05,7
2018-06,10
2018-07,18
2018-08,11
2018-09,17
2018-10,13
2018-11,23
2018-12,10
2019-01,15
2019-02,18
2019-03,10
2019-04,17
2019-05,18
2019-06,13
2019-07,14
2019-08,19
2019-09,18
2019-10,21
2019-11,25
2019-12,15
2020-01,9
2020-02,17
2020-03,30
